"0","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"1","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"2","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"3","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"4","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"5","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"raisusarada","@raisusarada","ま～りん??- ?? ??? @raisusarada ?穏やかな心の繋がりに感謝 ｲｲﾈ?有難うございます。不定期です? (*' ')*, ,)?エロは @raisusarada2 はサブ垢","??????? おはようございます  優しい雨音ちょっぴり冷たいけれどキラキラ?*¨*?.????♪♪  草花の芽生えを潤してくれる素敵な春の足音のようでしょうか…(*^^*)  皆さま素敵な1週間でありますように???.*?","3549 ","445","203","62"
"tani_46_chr","@tani_46_chr","ちはる｜本業を超える働き方 @tani_46_chr 【旦那より稼ぐママ】副業でTwitterやってみるも1円も稼げず挫折→SNS運用スキルとマーケティングの知識を身につけ月収6桁安定｜仕事も子育てもプライベートも全力でたのしむ｜「SNSマーケ×コンテンツビジネス」利益率がとんでもなく高いし再現性も高いビジネスなのでやればやるだけレベルアップして収入も安定化できる","","4232 ","901","96","24"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"su3_affiliate","@su3_affiliate","すーアフィリでゲームざんまい @su3_affiliate 【アフィリエイトで独立を目指すあなたに寄り添います】22歳｜11カ月で脱サラした元SESのインフラエンジニア｜現フリーターのsdvxプレイヤー｜情報系短大卒｜プログラミングで独立を目指す→自分に合わずアフィリエイトへ｜最短56日で収益化してきた最速ステップを発信｜具体的なノウハウはこちらhttp://lin.ee/QehBCtG","実はフリーランスエンジニアを目指し、SES企業に入社しました。常駐先は大手電力会社、経験が積めると喜んでた。働いて2ヶ月経ち、初めてネットで案件を見て衝撃。出社必須や時間の縛りがある。僕が目指すのはゲーム中心の生活で自由に働くこと。別の手段で達成できると知り、エンジニアを辞めました。","102 ","380","34","14"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
